"Variation SKU","Variation Label","Variation Record Key","Parent SKU","Parent Name","Linked Sites","Site Brand Mapping","Feed Title","Feed Description","Price Amount","Currency","Feed Price","Availability","Condition","Item Group ID","Color","Texture / Pattern","Material","Length","Width","Height","Depth","Projection","Diameter","Sides","Selected Attributes","Image Link","Product Link","Google Product Category","GTIN","MPN","Identifier Exists","Airtable Import Status","Marketplace Export Status","PIM Issues","Regular Price Original","Tiered Pricing","Stock","Is Active","Published"
"3D-MOD001-2","3D-MOD001-2","3D-MOD001-2","3D-MOD001","3dsignfactory-test","3dsignfactory.com,decorativearchitecturalproducts.com,3dsignfactory.us","{""3dsignfactory.com"": ""3D Sign Factory"", ""3dsignfactory.us"": ""3D Sign Factory"", ""decorativearchitecturalproducts.com"": ""Decorative Architectural Products""}","3dsignfactory-test — 7"", 3"", 5' 9"" (69"")","test monument sign","80.00","USD","80.00 USD","in_stock","new","3D-MOD001","","","","5' 9"" (69"")","3""","7""","","","","","Height: 7"", Width: 3"", Length: 5' 9"" (69"")","https://v5.airtableusercontent.com/v3/u/57/57/1789048800000/yn6TlJXPIHS2ORum0C2eKA/p5W13h6Tz47mrFu_09MBsUdxxtdtVxhbYPhmH_MD3ciy70qu88ESlGYLc-7NDP4NTAZRdn0vjqCC1MLXcw8OX8s40k6mmlhN2UJb5E1THeCCDmXav33IW2Mv5FvOUEzgzJdO10EwqGw7f2CGp4Op22FWKE0l9FVJO_OaChLMijTBsAJGl37t05uiX4rxJeZk68AAajRb2gTAfV_a7sWWqQ/uXUeUK1272dj-8rsir6HMVFVZ5UuHeHlzWiY3HxFspQ","","","","","","READY","BLOCKED","Selected attributes are not listed on parent | Parent attributes not selected: Color","$80.00","","10","1","1"
"CCS-MOD001-0001","CCS-MOD001-0001","CCS-MOD001-0001","CCS-MOD001","Coffered Ceiling System MOD001","decorativearchitecturalproducts.com","{""decorativearchitecturalproducts.com"": ""Decorative Architectural Products""}","Coffered Ceiling System MOD001 — 4"", 4"", 8' (96"")","Our sanded texture represents a treated wood surface, refined to a smooth finish. This process preserves and accentuates the natural patterns and unique grain of the wood, creating an elegant combination of smoothness and natural beauty. This texture perfectly balances a refined finish with the organic essence of the material, maintaining its authenticity and natural charm.","257.00","USD","257.00 USD","in_stock","new","CCS-MOD001","","","","8' (96"")","4""","4""","","","","","Width: 4"", Height: 4"", Length: 8' (96"")","","","","","","","READY","BLOCKED","Selected attributes are not listed on parent | Parent attributes not selected: Texture","$257.00","","10","1","1"
"CCS-MOD002-0001","CCS-MOD002-0001","CCS-MOD002-0001","CCS-MOD002","Coffered Ceiling System MOD002","decorativearchitecturalproducts.com","{""decorativearchitecturalproducts.com"": ""Decorative Architectural Products""}","Coffered Ceiling System MOD002 — 4"", 4"", 8' (96"")","Our Faux Wood Beams Hand Hewn Style replicate the artisanal craftsmanship of hand-worked wood, where each beam reflects the natural, irregular texture created by axes or specialized tools. This process preserves the distinctive marks of the craftsman.","257.00","USD","257.00 USD","in_stock","new","CCS-MOD002","","","","8' (96"")","4""","4""","","","","","Width: 4"", Height: 4"", Length: 8' (96"")","","","","","","","READY","BLOCKED","Selected attributes are not listed on parent | Parent attributes not selected: Texture","$257.00","","10","1","1"
"CCS-MOD003-0001","CCS-MOD003-0001","CCS-MOD003-0001","CCS-MOD003","Coffered Ceiling System MOD003","decorativearchitecturalproducts.com","{""decorativearchitecturalproducts.com"": ""Decorative Architectural Products""}","Coffered Ceiling System MOD003 — 4"", 4"", 8' (96"")","Rough Sawn Style Beams have a distressed, aged appearance, often with visible grain, knots, and cracks. Unfinished logs or roughly treated beams are often used in interiors to create a ""wild nature"". This type of texture is ideal for spaces that value the raw, untreated look of wood.","257.00","USD","257.00 USD","in_stock","new","CCS-MOD003","","","","8' (96"")","4""","4""","","","","","Width: 4"", Height: 4"", Length: 8' (96"")","","","","","","","READY","BLOCKED","Selected attributes are not listed on parent | Parent attributes not selected: Texture","$257.00","","10","1","1"
"CCS-MOD004-0001","CCS-MOD004-0001","CCS-MOD004-0001","CCS-MOD004","Coffered Ceiling System MOD004","decorativearchitecturalproducts.com","{""decorativearchitecturalproducts.com"": ""Decorative Architectural Products""}","Coffered Ceiling System MOD004 — 4"", 4"", 8' (96"")","Brushing is a wood treatment process where stiff brushes are used to remove the softer fibers, highlighting the denser and harder structure of the material. Brushed wood retains its natural character while gaining a unique decorative effect.","257.00","USD","257.00 USD","in_stock","new","CCS-MOD004","","","","8' (96"")","4""","4""","","","","","Width: 4"", Height: 4"", Length: 8' (96"")","","","","","","","READY","BLOCKED","Selected attributes are not listed on parent | Parent attributes not selected: Texture","$257.00","","10","1","1"
"CCS-MOD005-0001","CCS-MOD005-0001","CCS-MOD005-0001","CCS-MOD005","Coffered Ceiling System MOD005","decorativearchitecturalproducts.com","{""decorativearchitecturalproducts.com"": ""Decorative Architectural Products""}","Coffered Ceiling System MOD005 — 4"", 4"", 8' (96"")","Our Weathered Texture Faux Wood Beams masterfully capture the passage of time, simulating the natural wear and weathering that wood experiences when exposed to the elements, creating a sense of history and warmth in any space they adorn.","257.00","USD","257.00 USD","in_stock","new","CCS-MOD005","","","","8' (96"")","4""","4""","","","","","Width: 4"", Height: 4"", Length: 8' (96"")","","","","","","","READY","BLOCKED","Selected attributes are not listed on parent | Parent attributes not selected: Texture","$257.00","","10","1","1"
"CCS-MOD006-0001","CCS-MOD006-0001","CCS-MOD006-0001","CCS-MOD006","Coffered Ceiling System MOD006","decorativearchitecturalproducts.com","{""decorativearchitecturalproducts.com"": ""Decorative Architectural Products""}","Coffered Ceiling System MOD006 — 4"", 4"", 8' (96"")","Our grainy texture is characterized by distinct and tangible wood fibers, which give the material its unique natural pattern. The grain creates a dynamic contrast within the texture, emphasizing the layered structure of the wood and enhancing its depth.","257.00","USD","257.00 USD","in_stock","new","CCS-MOD006","","","","8' (96"")","4""","4""","","","","","Width: 4"", Height: 4"", Length: 8' (96"")","","","","","","","READY","BLOCKED","Selected attributes are not listed on parent | Parent attributes not selected: Texture","$257.00","","10","1","1"
"CCS-MOD007-0001","CCS-MOD007-0001","CCS-MOD007-0001","CCS-MOD007","Coffered Ceiling System MOD007","decorativearchitecturalproducts.com","{""decorativearchitecturalproducts.com"": ""Decorative Architectural Products""}","Coffered Ceiling System MOD007 — 4"", 4"", 8' (96"")","Our Rough Hewn Style Faux Wood Ceiling Beams faithfully emulate the artisanal craftsmanship of hand-worked wood. Each beam retains the unique, irregular characteristics of the wood, including knots, grain patterns, and surface imperfections, providing an authentically rough-hewn finish. This treatment preserves the raw, organic beauty of the material.","257.00","USD","257.00 USD","in_stock","new","CCS-MOD007","","","","8' (96"")","4""","4""","","","","","Width: 4"", Height: 4"", Length: 8' (96"")","","","","","","","READY","BLOCKED","Selected attributes are not listed on parent | Parent attributes not selected: Texture","$257.00","","10","1","1"
"CCS-MOD008-0001","CCS-MOD008-0001","CCS-MOD008-0001","CCS-MOD008","Coffered Ceiling System MOD008","decorativearchitecturalproducts.com","{""decorativearchitecturalproducts.com"": ""Decorative Architectural Products""}","Coffered Ceiling System MOD008 — 4"", 4"", 8' (96"")","Our Barn Wood Faux Wood Beams is a style often used to describe beams that mimic the look of reclaimed barn wood. The beams are designed to replicate the natural wear and aging of wood that has been exposed to the elements over time, such as in barns or other outdoor structures.","257.00","USD","257.00 USD","in_stock","new","CCS-MOD008","","","","8' (96"")","4""","4""","","","","","Width: 4"", Height: 4"", Length: 8' (96"")","","","","","","","READY","BLOCKED","Selected attributes are not listed on parent | Parent attributes not selected: Texture","$257.00","","10","1","1"
"GBV-MOD001-0001","GBV-MOD001-0001","GBV-MOD001-0001","","","","{}","","","103.00","USD","103.00 USD","in_stock","new","","","","","","22""","34""","","","","","Width: 22"", Height: 34""","","","","","","","NEEDS_REVIEW","BLOCKED","Valid parent product is missing","$103.00","","10","1","1"
"GBV-MOD002-0001","GBV-MOD002-0001","GBV-MOD002-0001","","","","{}","","","46.00","USD","46.00 USD","in_stock","new","","","","","","","","","","16""","","Diameter: 16""","","","","","","","NEEDS_REVIEW","BLOCKED","Valid parent product is missing","$46.00","","10","1","1"
"GBV-MOD003-0001","GBV-MOD003-0001","GBV-MOD003-0001","","","","{}","","","61.00","USD","61.00 USD","in_stock","new","","","","","","","","","","22""","","Diameter: 22""","","","","","","","NEEDS_REVIEW","BLOCKED","Valid parent product is missing","$61.00","","10","1","1"
"GBV-MOD004-0001","GBV-MOD004-0001","GBV-MOD004-0001","","","","{}","","","46.00","USD","46.00 USD","in_stock","new","","","","","","","","","","16""","","Diameter: 16""","","","","","","","NEEDS_REVIEW","BLOCKED","Valid parent product is missing","$46.00","","10","1","1"
"GBV-MOD005-0001","GBV-MOD005-0001","GBV-MOD005-0001","","","","{}","","","61.00","USD","61.00 USD","in_stock","new","","","","","","","","","","22""","","Diameter: 22""","","","","","","","NEEDS_REVIEW","BLOCKED","Valid parent product is missing","$61.00","","10","1","1"
"GBV-MOD006-0001","GBV-MOD006-0001","GBV-MOD006-0001","","","","{}","","","43.00","USD","43.00 USD","in_stock","new","","","","","","12""","12""","","","","","Width: 12"", Height: 12""","","","","","","","NEEDS_REVIEW","BLOCKED","Valid parent product is missing","$43.00","","10","1","1"
"GBV-MOD007-0001","GBV-MOD007-0001","GBV-MOD007-0001","","","","{}","","","56.00","USD","56.00 USD","in_stock","new","","","","","","12""","18""","","","","","Width: 12"", Height: 18""","","","","","","","NEEDS_REVIEW","BLOCKED","Valid parent product is missing","$56.00","","10","1","1"
"GBV-MOD008-0001","GBV-MOD008-0001","GBV-MOD008-0001","","","","{}","","","65.00","USD","65.00 USD","in_stock","new","","","","","","18""","24""","","","","","Width: 18"", Height: 24""","","","","","","","NEEDS_REVIEW","BLOCKED","Valid parent product is missing","$65.00","","10","1","1"
"FWT-MOD001-0001","FWT-MOD001-0001","FWT-MOD001-0001","FWT-MOD001","Arched Cord King Post Truss with Straight Diagonals","decorativearchitecturalproducts.com","{""decorativearchitecturalproducts.com"": ""Decorative Architectural Products""}","Arched Cord King Post Truss with Straight Diagonals — 3"" | 4"" | 4.5""","","","USD","","in_stock","new","FWT-MOD001","","","","","3"" | 4"" | 4.5""","","","","","","Width: 3"" | 4"" | 4.5""","https://v5.airtableusercontent.com/v3/u/57/57/1789048800000/KFSPhTm1Qzyscz7Xse8uSQ/imWZwmB7FO3CCAU9zEFSHFfJTDo0HsmHRduNySR3BMLHDJ0LoY3w4mDmk3rGpQuTQ8ZiWG7ynFRlbsIWcL0swh-qWomVuGuQZLxOgOFFB9q0IYAnEFubXfYeIdiZxILdnzLHNGabBFlFgNsSlaI7WD5XrOwhIHJMLEuPeQJp8dxD1lUGohLJ--TxMymkYRl70FxiZwU4PQlEO06k2-gBbw/LoX5re9tLjhXRofhlyUDQwIEblWiTd4JwNwXDNfadgA","","","","","","NEEDS_REVIEW","BLOCKED","Regular Price is empty or invalid | Multiple values selected: Width | Selected attributes are not listed on parent","","","10","1","1"
"FWT-MOD001-0002","FWT-MOD001-0002","FWT-MOD001-0002","FWT-MOD002","Raised Cord King Post Truss with Straight Diagonal","decorativearchitecturalproducts.com","{""decorativearchitecturalproducts.com"": ""Decorative Architectural Products""}","Raised Cord King Post Truss with Straight Diagonal — 3"" | 4"" | 5""","","","USD","","in_stock","new","FWT-MOD002","","","","","3"" | 4"" | 5""","","","","","","Width: 3"" | 4"" | 5""","https://v5.airtableusercontent.com/v3/u/57/57/1789048800000/ZEBv9xyo9XwlHDvAK5aATg/6t9LgbtYgcjVDjtY6uCNHoDq6VwGKPivKCWW5vqiC6B1U6B8uYHYDvXvCh4AHtHuFJSWKntaYPw7tsf7IUdn4uQ38kIHhuaNVgjkv50YvlXMpWLmK0vf0TXSwmnvaeKuzJ6LIUQ_yXpHgCRTixBaflbhY1z9vcuFA7SUSQ7vFfTEsJxZEMQGFODxOGufv-hRmESrIHWMhawLGdOIEBKr1w/RwhOoO1Sd-Pn7-3rkm38mu_jFMwYxSfJd6mALFsSpEs","","","","","","NEEDS_REVIEW","BLOCKED","Regular Price is empty or invalid | Multiple values selected: Width | Selected attributes are not listed on parent","","","10","1","1"
"MS-MOD001-0001","MS-MOD001-0001","MS-MOD001-0001","MS-MOD001","Monument Sign MS 001","3dsignfactory.com,3dsignfactory.us,royalfoam.art","{""3dsignfactory.com"": ""3D Sign Factory"", ""3dsignfactory.us"": ""3D Sign Factory"", ""royalfoam.art"": ""Royal Foam Art Design""}","Monument Sign MS 001 — 72"", 48"", 48""","This compact monument sign combines elegance with functionality. Its main advantage is the ability to display information on all four sides, making it highly visible and easy to read from any direction. It’s a perfect solution for smaller spaces where aesthetics and maximum messaging need to go hand in hand. This model can serve as a directional guide or as a shared sign for multiple organizations — a practical and striking choice for modern properties. You can also customize it with different color schemes or cladding options to match your setting.","6750.00","USD","6750.00 USD","in_stock","new","MS-MOD001","","","","48""","","72""","48""","","","","Height: 72"", Length: 48"", Depth: 48""","https://v5.airtableusercontent.com/v3/u/57/57/1789048800000/2C0GdYSl63Dy-xTL7ye2lQ/V7u9qyxsAhu9lPPDlTMLKba8YBxF1MeDuXJto5K16nnw9WbcoyFNBZDHY0td9VqbLfIX0axBGrjK3fHSm4l9XN2PmtDBf1kOLOBE_ouUDp0YT7Qddx5YBo9F5VYtrFIrw8pf-UeW2gJPCjEWQdBT15t3JZ9725dVGZmwaUlin5Q/HA1HS3cWUSlfYJRdXxeaIv-Bp_cgj3-T0YYxVuwd8k0","","","","","","READY","BLOCKED","Selected attributes are not listed on parent | Parent attributes not selected: Texture","$6750.00","","10","1","1"
"MS-MOD001-0002","MS-MOD001-0002","MS-MOD001-0002","MS-MOD001","Monument Sign MS 001","3dsignfactory.com,3dsignfactory.us,royalfoam.art","{""3dsignfactory.com"": ""3D Sign Factory"", ""3dsignfactory.us"": ""3D Sign Factory"", ""royalfoam.art"": ""Royal Foam Art Design""}","Monument Sign MS 001 — Any Custom Size, Any Custom Size, Any Custom Size","This compact monument sign combines elegance with functionality. Its main advantage is the ability to display information on all four sides, making it highly visible and easy to read from any direction. It’s a perfect solution for smaller spaces where aesthetics and maximum messaging need to go hand in hand. This model can serve as a directional guide or as a shared sign for multiple organizations — a practical and striking choice for modern properties. You can also customize it with different color schemes or cladding options to match your setting.","6750.00","USD","6750.00 USD","in_stock","new","MS-MOD001","","","","Any Custom Size","","Any Custom Size","Any Custom Size","","","","Height: Any Custom Size, Length: Any Custom Size, Depth: Any Custom Size","https://v5.airtableusercontent.com/v3/u/57/57/1789048800000/2C0GdYSl63Dy-xTL7ye2lQ/V7u9qyxsAhu9lPPDlTMLKba8YBxF1MeDuXJto5K16nnw9WbcoyFNBZDHY0td9VqbLfIX0axBGrjK3fHSm4l9XN2PmtDBf1kOLOBE_ouUDp0YT7Qddx5YBo9F5VYtrFIrw8pf-UeW2gJPCjEWQdBT15t3JZ9725dVGZmwaUlin5Q/HA1HS3cWUSlfYJRdXxeaIv-Bp_cgj3-T0YYxVuwd8k0","","","","","","READY","BLOCKED","Selected attributes are not listed on parent | Parent attributes not selected: Texture","$6750.00","","10","1","1"
"MS-MOD002-0001","MS-MOD002-0001","MS-MOD002-0001","MS-MOD002","Monument Sign MS 002","3dsignfactory.com,3dsignfactory.us,royalfoam.art","{""3dsignfactory.com"": ""3D Sign Factory"", ""3dsignfactory.us"": ""3D Sign Factory"", ""royalfoam.art"": ""Royal Foam Art Design""}","Monument Sign MS 002 — 62"", 120"", 18""","This monument sign is an excellent choice for malls or supermarkets located near highways, at city exits, or alongside gas stations. Its simple and streamlined design makes it truly universal: stylish in any era and always relevant. The clean form and balanced lines give the sign a timeless quality, emphasizing both practicality and visual appeal. We offer full customization — any color schemes, textures, and finishing materials can be tailored to match your concept. This sign can be easily adapted to your specific requirements, ensuring it blends seamlessly with the architectural and visual environment of your property.","9375.00","USD","9375.00 USD","in_stock","new","MS-MOD002","","","","120""","","62""","18""","","","","Height: 62"", Length: 120"", Depth: 18""","https://v5.airtableusercontent.com/v3/u/57/57/1789048800000/K-BXqSfQJO49c6OL30hDug/ra6kfDDHiDmxRYEI7CzCwpKRf5aHnatxF136dV3RYlaLEPs23skL_-agO1fpAUvoHT783srPCviWW1z80pQC8wdx_q6oiolTKqn5xzS40mk32wbuFqpLKj7ALzjVv4tO6M1shGg7oAFE6J6Dpua9Hv9_DTeafq3GhGlHlEJjmOQ/L8XS-JA1OxJGHMzVSt3mCX9HWCz5iNdrDqfFYi4Ykg4","","","","","","READY","BLOCKED","Selected attributes are not listed on parent | Parent attributes not selected: Texture","$9375.00","","10","1","1"
"MS-MOD002-0002","MS-MOD002-0002","MS-MOD002-0002","MS-MOD002","Monument Sign MS 002","3dsignfactory.com,3dsignfactory.us,royalfoam.art","{""3dsignfactory.com"": ""3D Sign Factory"", ""3dsignfactory.us"": ""3D Sign Factory"", ""royalfoam.art"": ""Royal Foam Art Design""}","Monument Sign MS 002 — Any Custom Size, Any Custom Size, Any Custom Size","This monument sign is an excellent choice for malls or supermarkets located near highways, at city exits, or alongside gas stations. Its simple and streamlined design makes it truly universal: stylish in any era and always relevant. The clean form and balanced lines give the sign a timeless quality, emphasizing both practicality and visual appeal. We offer full customization — any color schemes, textures, and finishing materials can be tailored to match your concept. This sign can be easily adapted to your specific requirements, ensuring it blends seamlessly with the architectural and visual environment of your property.","9375.00","USD","9375.00 USD","in_stock","new","MS-MOD002","","","","Any Custom Size","","Any Custom Size","Any Custom Size","","","","Height: Any Custom Size, Length: Any Custom Size, Depth: Any Custom Size","https://v5.airtableusercontent.com/v3/u/57/57/1789048800000/K-BXqSfQJO49c6OL30hDug/ra6kfDDHiDmxRYEI7CzCwpKRf5aHnatxF136dV3RYlaLEPs23skL_-agO1fpAUvoHT783srPCviWW1z80pQC8wdx_q6oiolTKqn5xzS40mk32wbuFqpLKj7ALzjVv4tO6M1shGg7oAFE6J6Dpua9Hv9_DTeafq3GhGlHlEJjmOQ/L8XS-JA1OxJGHMzVSt3mCX9HWCz5iNdrDqfFYi4Ykg4","","","","","","READY","BLOCKED","Selected attributes are not listed on parent | Parent attributes not selected: Texture","$9375.00","","10","1","1"
"MS-MOD003-0001","MS-MOD003-0001","MS-MOD003-0001","MS-MOD003","Monument Sign MS 003","3dsignfactory.com,3dsignfactory.us,royalfoam.art","{""3dsignfactory.com"": ""3D Sign Factory"", ""3dsignfactory.us"": ""3D Sign Factory"", ""royalfoam.art"": ""Royal Foam Art Design""}","Monument Sign MS 003 — 96"", 66"", 24""","This monument sign model is a perfect match for classical architecture and serves as a distinguished choice for universities, hospitals, and other institutions with a rich history. Its solid structure and stone accents emphasize prestige, giving the property a distinguished and authoritative presence. A unique feature of this design is the ability to mirror the shape of your logo in the top contour, which is especially valuable for non-standard logo designs. We offer a wide range of finishes and color options, allowing you to create a sign that is not only functional but also seamlessly integrated into its architectural surroundings.","8950.00","USD","8950.00 USD","in_stock","new","MS-MOD003","","","","66""","","96""","24""","","","","Height: 96"", Length: 66"", Depth: 24""","https://v5.airtableusercontent.com/v3/u/57/57/1789048800000/rUgjuBsef9aVirIoWCuCNw/q3Y8Ns7LCwnIY1mKX-HN_CoOKdGgLgE9ttG2bJykYTs9lDZ-EbMCEG9VN9Ss1qPc2CwwmnY8PareIDVXawiTT0O4VJ4twe6QYFX9gs896mEktkDVWgKm36ngVwtVI8IDuuaRAJ6dyd6fO98LiJx9M4IXtiFOtzTGj3ldWJHyijw/U6TcGZ119yLnwEgOCdvJhpB5TlpPK2nFf-Pmo9yfyTE","","","","","","READY","BLOCKED","Selected attributes are not listed on parent | Parent attributes not selected: Texture","$8950.00","","10","1","1"
