"Категория","Атрибут","Поле фида","Требование","Master PIM Products (274)","Master PIM Variations (1862)","Итоговый статус","Что исправить","Официальные источники"
"Условно обязательное","Фактура","pattern","Google: если фактура создаёт варианты","Texture options: 138/274 (50.4%)","Texture selection: 0/1862 (0.0%)","Не готово","У 138 родителей есть список Texture, но ни одна вариация не содержит выбранную Texture.","https://support.google.com/merchants/answer/7052112?hl=ru | https://help.pinterest.com/en/business/article/before-you-get-started-with-catalogs | https://developers.facebook.com/docs/marketing-api/catalog/reference/"
"Необязательное","Длина товара","product_length","Google необязательно","Length options: 24/274 (8.8%)","Length: 1366/1862 (73.4%)","Есть","Нормализовать числа и единицы; устранить лишнее экранирование кавычек.","https://support.google.com/merchants/answer/7052112?hl=ru"
"Необязательное","Ширина товара","product_width","Google необязательно","Width options: 22/274 (8.0%)","Width: 1104/1862 (59.3%)","Есть частично","Добавить выбранную ширину там, где она является обязательной характеристикой.","https://support.google.com/merchants/answer/7052112?hl=ru"
"Необязательное","Высота товара","product_height","Google необязательно","Height options: 37/274 (13.5%)","Height: 1847/1862 (99.2%)","Есть почти полностью","Нормализовать числа и единицы.","https://support.google.com/merchants/answer/7052112?hl=ru"
"Необязательное","Вес товара","product_weight","Google необязательно","Нет","Нет","Отсутствует","Добавить фактический вес вариации.","https://support.google.com/merchants/answer/7052112?hl=ru"
"Доставка","Вес упаковки","shipping_weight","Для расчёта доставки","Нет","Нет","Отсутствует","Добавить для freight shipping.","https://support.google.com/merchants/answer/7052112?hl=ru | https://help.pinterest.com/en/business/article/before-you-get-started-with-catalogs"
"Доставка","Габариты упаковки","shipping_length/width/height","Для расчёта габаритного веса","Нет","Нет","Отсутствует","Добавить отдельные транспортные габариты, не использовать размеры изделия.","https://support.google.com/merchants/answer/7052112?hl=ru | https://help.pinterest.com/en/business/article/before-you-get-started-with-catalogs"
"Доставка","Правила доставки","shipping","Должны быть настроены для Google","Нет","Нет","Отсутствует","Настроить Merchant Center или передавать на уровне товара.","https://support.google.com/merchants/answer/9158778?hl=ru"
"Условно обязательное","Комплект","is_bundle","Google: применимые комплекты/customization","Нет","Нет","Отсутствует","Добавить для комплектов и применимой кастомизации.","https://support.google.com/merchants/answer/7052112?hl=ru | https://support.google.com/merchants/answer/7162856?hl=ru"
"Условно обязательное","Мультиупаковка","multipack","Google: применимые multipack","Нет","Нет","Отсутствует","Добавить только для нескольких одинаковых единиц в одном товаре.","https://support.google.com/merchants/answer/7052112?hl=ru"
"Необязательное","Tier pricing","Нет прямого универсального поля основного фида","Не заменяет price","Нет","444/1862 (23.8%)","Есть частично, формат неоднороден","442 значения JSON и 2 legacy-значения. Оставить одну схему; в основной price передавать общедоступную цену/полную цену минимального заказа.","https://support.google.com/merchants/answer/7052112?hl=ru | https://support.google.com/merchants/answer/9158778?hl=ru"
"Необязательное","Дополнительные изображения","additional_image_link","Необязательно","Несколько URL: 3/274 (1.1%)","Отдельных нет","Почти отсутствует","Добавить ракурсы и изображения вариантов.","https://support.google.com/merchants/answer/7052112?hl=ru | https://help.pinterest.com/en/business/article/before-you-get-started-with-catalogs | https://developers.facebook.com/docs/marketing-api/catalog/reference/"
"Необязательное","Видео","video_link","Необязательно","25/274 (9.1%)","Наследуется","Частично","Проверить стабильность Airtable URL.","https://support.google.com/merchants/answer/7052112?hl=ru | https://help.pinterest.com/en/business/article/before-you-get-started-with-catalogs"
"Необязательное","Технические характеристики","product_detail","Google необязательно","163/274 (59.5%)","1853/1862 (99.5%)","Есть с ошибками","754 выбранных токена отсутствуют в списке разрешённых атрибутов своего родителя; 686 вариаций не выбирают все ожидаемые типы атрибутов.","https://support.google.com/merchants/answer/9218260?hl=ru"
"Необязательное","Custom labels","custom_label_0-4","Необязательно","Нет","Нет","Отсутствует","Добавить при необходимости сегментации.","https://support.google.com/merchants/answer/6324473?hl=ru"
"Внутреннее PIM","Покрытие","coating","Через description/product_detail","Нет","Нет","Отсутствует","Добавить нормализованное поле.","https://support.google.com/merchants/answer/7052112?hl=ru"
"Внутреннее PIM","Применение interior/exterior","application","Через description/product_detail","Нет","Нет","Отсутствует","Добавить нормализованное поле.","https://support.google.com/merchants/answer/7052112?hl=ru"
"Внутреннее PIM","Способ монтажа","installation_method","Через description/product_detail","Нет","Нет","Отсутствует","Добавить поле и инструкцию.","https://support.google.com/merchants/answer/7052112?hl=ru"
"Внутреннее PIM","Огнестойкость","fire_rating","Через description/product_detail","Нет","Нет","Отсутствует","Добавить подтверждённые данные/сертификат.","https://support.google.com/merchants/answer/7052112?hl=ru"
"Внутреннее PIM","Гарантия","warranty","На странице товара","Нет","Нет","Отсутствует","Добавить срок, условия и URL.","https://support.google.com/merchants/answer/4752265?hl=ru | https://policy.pinterest.com/en/merchant-guidelines"
"Внутреннее PIM","Срок производства","lead_time","На странице; не заменяет availability","Нет","Нет","Отсутствует","Добавить рабочие дни и использовать для ожидаемой даты.","https://support.google.com/merchants/answer/4752265?hl=ru | https://policy.pinterest.com/en/merchant-guidelines"
