Данные WooCommerce,Официальное поле фида,Google Shopping,Pinterest,Meta Facebook Instagram,Обновлённое требование для архитектурных товаров,Официальный источник Google,Официальный источник Pinterest,Официальный источник Meta
Дата поступления или готовности,availability_date,"Обязательно для preorder; следует указывать для backorder",Нет стандартного поля,Нет стандартного поля,"Для Google при preorder передать дату в ISO 8601 и показать её на странице. При backorder Google также требует согласованной ожидаемой даты на целевой странице.",https://support.google.com/merchants/answer/7052112?hl=ru,,
Состояние,condition,"Обязательно для used и refurbished; для new необязательно",Необязательно,Обязательно,"Для новых архитектурных изделий передавать new. Pinterest поддерживает new, used и refurbished как необязательную характеристику.",https://support.google.com/merchants/answer/7052112?hl=ru,https://help.pinterest.com/en/business/article/create-and-manage-product-groups-in-bulk,https://developers.facebook.com/docs/marketing-api/catalog/reference/
Бренд,brand,"Обязательно для новых товаров",Необязательно,Обязательно,"Указывать реальный бренд производителя. Собственный бренд допустим, если компания действительно производит товар. Не использовать N/A, Generic или No brand.",https://support.google.com/merchants/answer/7052112?hl=ru,https://help.pinterest.com/en/business/article/before-you-get-started-with-catalogs,https://developers.facebook.com/docs/marketing-api/catalog/reference/
Штрихкод,gtin,"Обязательно, если GTIN присвоен производителем",Необязательно,Необязательно,"Передавать только действительный UPC, EAN, JAN или ISBN. Не использовать внутренний SKU вместо GTIN и не придумывать код. Уникальные заказные изделия обычно не имеют GTIN.",https://support.google.com/merchants/answer/7052112?hl=ru,https://help.pinterest.com/en/business/article/before-you-get-started-with-catalogs,https://developers.facebook.com/docs/marketing-api/catalog/reference/
Код производителя,mpn,"Обязательно, если производитель не присвоил GTIN, но присвоил MPN",Необязательно,Необязательно,"MPN должен быть присвоен производителем. Для разных моделей и вариаций используйте разные MPN. Не копировать случайный SKU поставщика.",https://support.google.com/merchants/answer/7052112?hl=ru,https://help.pinterest.com/en/business/article/before-you-get-started-with-catalogs,https://developers.facebook.com/docs/marketing-api/catalog/reference/
Признак отсутствия идентификаторов,identifier_exists,"Условно обязательно",Нет поля,Нет поля,"В Google передавать no только если нет GTIN и нет комбинации brand + mpn. Если идентификаторы существуют, значение no может привести к отклонению.",https://support.google.com/merchants/answer/7052112?hl=ru,,
Категория Google,google_product_category,"Необязательно, но рекомендуется",Необязательно,Необязательно; обязательно для прямого checkout при отсутствии fb_product_category,"Выбрать одну наиболее точную категорию из действующей таксономии Google. Для архитектурного декора категория зависит от конкретного изделия, а не только от материала.",https://support.google.com/merchants/answer/7052112?hl=ru,https://help.pinterest.com/en/business/article/create-and-manage-product-groups-in-bulk,https://www.facebook.com/business/help/526764014610932
Категория магазина,product_type,Необязательно,Необязательно,Необязательно,"Передавать полную иерархию, например Architectural Products > Exterior Decor > Cornices. Полезно для структуры кампаний и групп товаров.",https://support.google.com/merchants/answer/7052112?hl=ru,https://help.pinterest.com/en/business/article/before-you-get-started-with-catalogs,https://developers.facebook.com/docs/marketing-api/catalog/reference/
Категория Meta,fb_product_category,Нет поля,Нет поля,"Обязательно только для прямого checkout, если не используется google_product_category","Для прямого checkout в Facebook или Instagram достаточно одного поля: fb_product_category или google_product_category.",,,https://www.facebook.com/business/help/526764014610932
Группа вариаций,item_group_id,"Обязательно для вариантов в бесплатных предложениях и в отдельных целевых странах; рекомендуется в остальных случаях",Обязательно для товаров с несколькими вариантами,Необязательно,"Одинаковый родительский ID для вариантов одной модели. Каждая комбинация цвета, материала или размера должна иметь собственный id.",https://support.google.com/merchants/answer/7052112?hl=ru,https://help.pinterest.com/en/business/article/before-you-get-started-with-catalogs,https://developers.facebook.com/docs/marketing-api/catalog/reference/
Название группы вариаций,item_group_title,Необязательно,Нет поля,Нет стандартного поля,"Google рекомендует одинаковое название родительской модели для всех вариантов одной группы.",https://support.google.com/merchants/answer/7052112?hl=ru,,
Цвет,color,"Обязательно, если варианты отличаются цветом",Необязательно,Необязательно,"Использовать понятное название цвета, совпадающее со страницей: Walnut Brown, Antique White, Limestone Beige. Не передавать только код Pantone вместо названия.",https://support.google.com/merchants/answer/7052112?hl=ru,https://help.pinterest.com/en/business/article/create-and-manage-product-groups-in-bulk,https://developers.facebook.com/docs/marketing-api/catalog/reference/
Размер,size,"Обязательно, если товар доступен в разных размерах",Необязательно,Необязательно,"Для архитектурного изделия можно использовать конкретную конфигурацию, например 8 x 10 x 120 in. Размер в фиде и на странице должен совпадать.",https://support.google.com/merchants/answer/7052112?hl=ru,https://help.pinterest.com/en/business/article/before-you-get-started-with-catalogs,https://developers.facebook.com/docs/marketing-api/catalog/reference/
Материал,material,"Обязательно, если материал отличает варианты; иначе необязательно",Необязательно,Необязательно,"Например EPS foam, HDU, polyurethane, PVC, fiberglass. Материал должен описывать продаваемое изделие, а не материал, внешний вид которого имитируется.",https://support.google.com/merchants/answer/7052112?hl=ru,https://help.pinterest.com/en/business/article/before-you-get-started-with-catalogs,https://developers.facebook.com/docs/marketing-api/catalog/reference/
Фактура или рисунок,pattern,"Обязательно, если pattern отличает варианты; иначе необязательно",Необязательно,Необязательно,"Можно использовать для фактур Hand Hewn, Rough Sawn, Wire Brushed или Driftwood, если они являются вариантами товара и совпадают с целевой страницей.",https://support.google.com/merchants/answer/7052112?hl=ru,https://help.pinterest.com/en/business/article/create-and-manage-product-groups-in-bulk,https://developers.facebook.com/docs/marketing-api/catalog/reference/
Технические характеристики,product_detail,Необязательно,Нет поля,Нет стандартного поля,"Официальное поле Google для проверяемых характеристик: материал основы, плотность, покрытие, размеры, класс огнестойкости и способ применения. Не включать рекламу, цену или доставку.",https://support.google.com/merchants/answer/9218260?hl=ru,,
Ключевые преимущества,product_highlight,Необязательно,Нет поля,Нет стандартного поля,"Официальное поле Google для кратких преимуществ. Не дублировать description или product_detail и не использовать неподтверждённые заявления.",https://support.google.com/merchants/answer/9216100?hl=ru,,
Длина товара,product_length,Необязательно,Нет стандартного поля,Нет стандартного поля,"Фактическая длина изделия. Подходит для балок, карнизов, молдингов, колонн и панелей. Не путать с длиной упаковки.",https://support.google.com/merchants/answer/7052112?hl=ru,,
Ширина товара,product_width,Необязательно,Нет стандартного поля,Нет стандартного поля,"Фактическая ширина изделия. Использовать ту же единицу измерения, что и для других размеров товара.",https://support.google.com/merchants/answer/7052112?hl=ru,,
Высота товара,product_height,Необязательно,Нет стандартного поля,Нет стандартного поля,"Фактическая высота изделия. Полезно для колонн, арок, скульптур, вывесок и каминных порталов.",https://support.google.com/merchants/answer/7052112?hl=ru,,
Вес товара,product_weight,Необязательно,Нет стандартного поля,Нет стандартного поля,"Фактический вес готового изделия. Для комплектов указывать общий вес компонентов.",https://support.google.com/merchants/answer/7052112?hl=ru,,
Вес транспортной упаковки,shipping_weight,"Необязательно; нужен для расчёта доставки по весу",Необязательно,Нет стандартного обязательного поля,"Вес товара с упаковкой. Настройка должна соответствовать фактическому способу расчёта доставки.",https://support.google.com/merchants/answer/7052112?hl=ru,https://help.pinterest.com/en/business/article/before-you-get-started-with-catalogs,
Длина транспортной упаковки,shipping_length,"Необязательно; нужен при расчёте по габаритному весу",Нет в базовом наборе Pinterest retail catalog,Нет стандартного обязательного поля,"Для Google при использовании габаритов следует заполнить длину, ширину и высоту упаковки в одной системе измерения.",https://support.google.com/merchants/answer/7052112?hl=ru,,
Ширина транспортной упаковки,shipping_width,"Необязательно; нужен при расчёте по габаритному весу",Необязательно,Нет стандартного обязательного поля,"Габарит транспортной упаковки, а не изделия. Pinterest официально поддерживает shipping_width.",https://support.google.com/merchants/answer/7052112?hl=ru,https://help.pinterest.com/en/business/article/before-you-get-started-with-catalogs,
Высота транспортной упаковки,shipping_height,"Необязательно; нужен при расчёте по габаритному весу",Необязательно,Нет стандартного обязательного поля,"Габарит транспортной упаковки. Pinterest официально поддерживает shipping_height.",https://support.google.com/merchants/answer/7052112?hl=ru,https://help.pinterest.com/en/business/article/before-you-get-started-with-catalogs,
Стоимость и условия доставки,shipping,"Должны быть настроены в Merchant Center или переданы на уровне товара",Необязательно,Настраиваются средствами магазина и Commerce Manager,"Для крупногабаритных изделий необходимо передавать точную freight-доставку или допустимое завышение по правилам Google. Все обязательные handling и carrier fees включаются в стоимость доставки.",https://support.google.com/merchants/answer/9158778?hl=ru,https://help.pinterest.com/en/business/article/before-you-get-started-with-catalogs,https://www.facebook.com/business/help/1205792533104321
Комплект из разных товаров,is_bundle,"Обязательно для соответствующих комплектов и кастомизации по правилам Google",Нет стандартного обязательного поля,Нет стандартного обязательного поля,"Использовать для сформированного продавцом набора с основным товаром. Google также рекомендует is_bundle для кастомизации или персонализации товара.",https://support.google.com/merchants/answer/7162856?hl=ru,,
Упаковка одинаковых товаров,multipack,"Обязательно для сформированной продавцом мультиупаковки в применимых случаях",Нет стандартного обязательного поля,Нет стандартного обязательного поля,"Указывать количество одинаковых единиц, если магазин объединяет их в один продаваемый товар. Не использовать для комплекта разных деталей.",https://support.google.com/merchants/answer/7052112?hl=ru,,
Количество и единица товара,unit_pricing_measure,"Условно обязательно по законодательству; иначе необязательно",Нет стандартного обязательного поля,Нет стандартного обязательного поля,"Использовать, если товар продаётся по длине, площади, объёму или количеству и это требуется правилами целевого рынка.",https://support.google.com/merchants/answer/7052112?hl=ru,,
Базовая единица цены,unit_pricing_base_measure,"Условно обязательно по законодательству; иначе необязательно",Нет стандартного обязательного поля,Нет стандартного обязательного поля,"Использовать вместе с unit_pricing_measure для сравнимой цены за базовую единицу.",https://support.google.com/merchants/answer/7052112?hl=ru,,
Пользовательские метки,custom_label_0-4,Необязательно,Необязательно,Необязательно,"Используются только для сегментации рекламы и отчётности: категория, interior/exterior, standard/custom, ценовой диапазон, маржинальность. Не заменяют характеристики товара.",https://support.google.com/merchants/answer/6324473?hl=ru,https://help.pinterest.com/en/business/article/create-and-manage-product-groups-in-bulk,https://developers.facebook.com/docs/marketing-api/catalog/reference/
Количество для прямого checkout Meta,quantity_to_sell_on_facebook,Нет поля,Нет поля,"Обязательно только для прямого checkout Facebook/Instagram","Целое количество доступных единиц. Не требуется для обычного каталога с переходом на сайт.",,,https://developers.facebook.com/docs/marketing-api/catalog/reference/
Покрытие,Внутренний атрибут WooCommerce coating,"Передавать через description или product_detail","Передавать через description","Передавать через description","Не является универсальным официальным полем фида. Примеры значений: Polyurea hard coat, stucco coating, UV-resistant coating.",https://support.google.com/merchants/answer/9218260?hl=ru,https://help.pinterest.com/en/business/article/before-you-get-started-with-catalogs,https://developers.facebook.com/docs/marketing-api/catalog/reference/
Профиль,Внутренний атрибут WooCommerce profile,"Передавать через title, description или product_detail","Передавать через title или description","Передавать через title или description","Использовать для карнизов, молдингов, обрамлений, капителей и архитектурного декора. Произвольную колонку profile площадка может не распознать.",https://support.google.com/merchants/answer/9218260?hl=ru,https://help.pinterest.com/en/business/article/before-you-get-started-with-catalogs,https://developers.facebook.com/docs/marketing-api/catalog/reference/
Диаметр,Внутренний атрибут WooCommerce diameter,"Передавать через size, description или product_detail","Передавать через title или description","Передавать через title или description","Полезно для колонн, капителей, баз и круглых декоративных элементов. Это не универсальное поле фида.",https://support.google.com/merchants/answer/9218260?hl=ru,https://help.pinterest.com/en/business/article/before-you-get-started-with-catalogs,https://developers.facebook.com/docs/marketing-api/catalog/reference/
Глубина или вынос,Внутренний атрибут WooCommerce depth,"Передавать через description или product_detail","Передавать через description","Передавать через description","Фактическая глубина изделия. Не использовать shipping_length, shipping_width или shipping_height вместо характеристики товара.",https://support.google.com/merchants/answer/9218260?hl=ru,https://help.pinterest.com/en/business/article/before-you-get-started-with-catalogs,https://developers.facebook.com/docs/marketing-api/catalog/reference/
Архитектурный стиль,Внутренний атрибут WooCommerce style,"Передавать через title, description или product_detail","Передавать через title или description","Передавать через title или description","Примеры: Modern, Classical, Corinthian, Tuscan, Romanesque, Mediterranean, Rustic. Не является обязательным стандартным полем.",https://support.google.com/merchants/answer/9218260?hl=ru,https://help.pinterest.com/en/business/article/before-you-get-started-with-catalogs,https://developers.facebook.com/docs/marketing-api/catalog/reference/
Применение interior или exterior,Внутренний атрибут WooCommerce application,"Передавать через description или product_detail","Передавать через description","Передавать через description","Указать подтверждённое назначение изделия. Не заявлять exterior без подходящего покрытия и документации.",https://support.google.com/merchants/answer/9218260?hl=ru,https://help.pinterest.com/en/business/article/before-you-get-started-with-catalogs,https://developers.facebook.com/docs/marketing-api/catalog/reference/
Способ монтажа,Внутренний атрибут WooCommerce installation_method,"Передавать через description или product_detail","Передавать через description","Передавать через description","Например adhesive, hidden fasteners, cleats, brackets, anchors или internal frame. Это не стандартная колонка товарного фида.",https://support.google.com/merchants/answer/9218260?hl=ru,https://help.pinterest.com/en/business/article/before-you-get-started-with-catalogs,https://developers.facebook.com/docs/marketing-api/catalog/reference/
Несущая способность,Внутренний атрибут WooCommerce load_bearing,"Передавать через description или product_detail","Передавать через description","Передавать через description","Для декоративных колонн, балок и балюстрад явно указывать Non-load-bearing, если они не являются несущими. Это характеристика страницы, а не обязательное поле фида.",https://support.google.com/merchants/answer/9218260?hl=ru,https://help.pinterest.com/en/business/article/before-you-get-started-with-catalogs,https://developers.facebook.com/docs/marketing-api/catalog/reference/
Огнестойкость,Внутренний атрибут WooCommerce fire_rating,"Передавать через description или product_detail","Передавать через description","Передавать через description","Указывать только подтверждённое значение для конкретного изделия, например ASTM E84 Class A. Не является универсальным полем фида.",https://support.google.com/merchants/answer/9218260?hl=ru,https://help.pinterest.com/en/business/article/before-you-get-started-with-catalogs,https://developers.facebook.com/docs/marketing-api/catalog/reference/
Влагостойкость и УФ-стойкость,Внутренние атрибуты WooCommerce water_resistant и uv_resistant,"Передавать через description или product_detail","Передавать через description","Передавать через description","Публиковать только проверяемые характеристики конкретной системы материала и покрытия.",https://support.google.com/merchants/answer/9218260?hl=ru,https://help.pinterest.com/en/business/article/before-you-get-started-with-catalogs,https://developers.facebook.com/docs/marketing-api/catalog/reference/
Гарантия,Внутренний атрибут WooCommerce warranty,"Показывать на странице товара","Показывать на странице и в политике магазина","Показывать на странице и в политике магазина","Стандартного обязательного поля фида нет. Срок и условия гарантии должны быть точными и доступны покупателю.",https://support.google.com/merchants/answer/4752265?hl=ru,https://policy.pinterest.com/en/merchant-guidelines,https://www.facebook.com/business/help/1205792533104321
Срок производства,Внутренний атрибут WooCommerce lead_time,"Показывать на странице; не заменяет availability_date","Показывать на странице","Показывать на странице","Например 15-30 business days. Для Google при preorder нужна дата поступления/отправки; свободный текст lead_time не заменяет официальный статус наличия.",https://support.google.com/merchants/answer/4752265?hl=ru,https://policy.pinterest.com/en/merchant-guidelines,https://www.facebook.com/business/help/1205792533104321
Состав комплекта,Внутренний атрибут WooCommerce kit_contents,"Передавать через description, image и product_detail","Передавать через description и image","Передавать через description и image","Перечислить все продаваемые элементы. Цена, изображение и описание должны относиться ко всему комплекту.",https://support.google.com/merchants/answer/13642389?hl=ru,https://help.pinterest.com/en/business/article/before-you-get-started-with-catalogs,https://developers.facebook.com/docs/marketing-api/catalog/reference/
Индивидуальное изготовление,Внутренний атрибут WooCommerce custom_made,"Допустимо при соблюдении правил кастомизированных товаров","Допустим конкретный физический покупаемый товар","Допустим конкретный физический товар","Выгружать конкретные популярные конфигурации с корректными изображением, названием, полной ценой и предвыбранными опциями. Проектную услугу без фиксированной цены не включать.",https://support.google.com/merchants/answer/7162856?hl=ru,https://policy.pinterest.com/en/merchant-guidelines,https://www.facebook.com/business/help/1205792533104321
Возможность прямой покупки,Требование сайта и landing page,Обязательно,Обязательно для конкретного Product Pin,Требуется конкретная страница физического товара,"Google требует фиксированную показанную цену, кнопку покупки и безопасный checkout. Pinterest требует конкретный товар, доступный для покупки, а не услугу. Страницы только Request a quote или Discuss the project не подходят как полноценные товарные карточки каталога.",https://support.google.com/merchants/answer/12160471?hl=ru,https://policy.pinterest.com/en/merchant-guidelines,https://www.facebook.com/business/help/1205792533104321
Доступность покупки физлицам,Требование checkout,Обязательно,Требования merchant policy,Зависит от модели магазина,"Google Shopping ориентирован на физических лиц: поля Company name и Company ID должны быть необязательными. Pinterest не допускает merchant account, работающий только как wholesale retailer.",https://support.google.com/merchants/answer/6323982?hl=ru,https://policy.pinterest.com/en/merchant-guidelines,
Актуальность цены и наличия,Требование обновления фида,Обязательно,Обязательно,Обязательно,"Обновлять данные при каждом изменении. Pinterest требует актуальные в пределах семи дней цену и наличие и рекомендует ежедневную синхронизацию. Несоответствие Google может привести к отклонению товара.",https://support.google.com/merchants/answer/188489?hl=ru,https://policy.pinterest.com/en/merchant-guidelines,https://www.facebook.com/business/help/2041876302542944
