"Категория требования","Атрибут","Поле фида","Требование площадок","Найдено в Master PIM","Заполнено строк","Всего строк","Заполненность","Статус","Что необходимо сделать","Официальные требования"
"Обязательное на уровне магазина/товара","Стоимость и условия доставки","shipping","Google: должны быть настроены в Merchant Center или на уровне товара","Нет","0","274","0.0%","Отсутствует","Добавить вес/габариты и правила freight shipping либо настроить точную доставку в Merchant Center.","https://support.google.com/merchants/answer/9158778?hl=ru | https://help.pinterest.com/en/business/article/before-you-get-started-with-catalogs"
"Условно обязательное","Комплект разных товаров","is_bundle","Google: обязателен для соответствующих комплектов и применяется к кастомизации","Нет","0","274","0.0%","Отсутствует","Добавить yes для применимых комплектов и кастомизированных товаров согласно правилам Google.","https://support.google.com/merchants/answer/7052112?hl=ru | https://support.google.com/merchants/answer/7162856?hl=ru"
"Условно обязательное","Мультиупаковка одинаковых товаров","multipack","Google: обязательна для сформированных продавцом multipack в применимых случаях","Нет","0","274","0.0%","Отсутствует","Добавить количество, только если несколько одинаковых единиц продаются как один товар.","https://support.google.com/merchants/answer/7052112?hl=ru"
"Условно обязательное","Количество/единица товара","unit_pricing_measure","Google: условно обязательно по законодательству","Нет","0","274","0.0%","Отсутствует","Добавить для товаров, продаваемых по длине, площади или количеству, если требуется целевым рынком.","https://support.google.com/merchants/answer/7052112?hl=ru"
"Условно обязательное","Базовая единица цены","unit_pricing_base_measure","Google: вместе с unit_pricing_measure в применимых случаях","Нет","0","274","0.0%","Отсутствует","Добавить согласованную базовую единицу для расчёта цены.","https://support.google.com/merchants/answer/7052112?hl=ru"
"Условно обязательное","Количество для Meta checkout","quantity_to_sell_on_facebook","Только при прямом checkout Facebook/Instagram","Stock","273","274","99.6%","Есть источник для маппинга","Сопоставить Stock с quantity_to_sell_on_facebook, только если используется прямой Meta checkout.","https://developers.facebook.com/docs/marketing-api/catalog/reference/"
"Необязательное","Дополнительные изображения","additional_image_link","Необязательно для всех площадок","Images; несколько URL есть только у части товаров","3","274","1.1%","Почти отсутствует","Добавить дополнительные изображения изделия, фактуры, торцов, комплекта и монтажа; использовать стабильные URL.","https://support.google.com/merchants/answer/7052112?hl=ru | https://help.pinterest.com/en/business/article/before-you-get-started-with-catalogs | https://developers.facebook.com/docs/marketing-api/catalog/reference/"
"Необязательное","Видео товара","video_link","Необязательно","Product Video","25","274","9.1%","Есть, но заполнено частично","При необходимости экспортировать в поддерживаемое поле площадки; проверить публичность и стабильность URL.","https://support.google.com/merchants/answer/7052112?hl=ru | https://help.pinterest.com/en/business/article/before-you-get-started-with-catalogs"
"Необязательное","Акционная цена","sale_price","Необязательно для всех площадок","Нет","0","274","0.0%","Отсутствует","Добавить, только если есть реальная скидка и обычная цена.","https://support.google.com/merchants/answer/7052112?hl=ru | https://help.pinterest.com/en/business/article/before-you-get-started-with-catalogs | https://developers.facebook.com/docs/marketing-api/catalog/reference/"
"Необязательное","Период скидки","sale_price_effective_date","Необязательно для Google и Meta","Нет","0","274","0.0%","Отсутствует","Добавить даты временной акции при использовании sale_price.","https://support.google.com/merchants/answer/7052112?hl=ru | https://developers.facebook.com/docs/marketing-api/catalog/reference/"
"Необязательное","Тип товара магазина","product_type","Необязательно; рекомендуется","Categories","274","274","100.0%","Есть и заполнено","Сопоставить Categories с product_type и привести опечатки/написание категорий к единому справочнику.","https://support.google.com/merchants/answer/7052112?hl=ru | https://help.pinterest.com/en/business/article/before-you-get-started-with-catalogs"
"Необязательное","Название группы вариаций","item_group_title","Google: необязательно","Name","274","274","100.0%","Есть источник для маппинга","Использовать Name родительского товара как item_group_title.","https://support.google.com/merchants/answer/7052112?hl=ru"
"Необязательное","Технические характеристики","product_detail","Google: необязательно","Product Attributes","163","274","59.5%","Есть, но заполнено частично","Преобразовать список опций в структурированные пары section_name / attribute_name / attribute_value.","https://support.google.com/merchants/answer/9218260?hl=ru"
"Необязательное","Ключевые преимущества","product_highlight","Google: необязательно","Short description","203","274","74.1%","Есть, но заполнено частично","Сформировать 2–10 проверяемых преимуществ без рекламных клише и дублирования.","https://support.google.com/merchants/answer/9216100?hl=ru"
"Необязательное","Длина товара","product_length","Google: необязательно","Product Attributes: Length","24","274","8.8%","Есть только у части товаров","Хранить одно фактическое значение для каждой вариации, а не список всех возможных значений родителя.","https://support.google.com/merchants/answer/7052112?hl=ru"
"Необязательное","Ширина товара","product_width","Google: необязательно","Product Attributes: Width","22","274","8.0%","Есть только у части товаров","Хранить фактическую ширину конкретной вариации.","https://support.google.com/merchants/answer/7052112?hl=ru"
"Необязательное","Высота товара","product_height","Google: необязательно","Product Attributes: Height","37","274","13.5%","Есть только у части товаров","Хранить фактическую высоту конкретной вариации.","https://support.google.com/merchants/answer/7052112?hl=ru"
"Необязательное","Вес товара","product_weight","Google: необязательно","Нет","0","274","0.0%","Отсутствует","Добавить фактический вес готового изделия.","https://support.google.com/merchants/answer/7052112?hl=ru"
"Необязательное","Вес упаковки","shipping_weight","Необязательно; нужен при расчёте доставки по весу","Нет","0","274","0.0%","Отсутствует","Добавить вес изделия с упаковкой для freight calculation.","https://support.google.com/merchants/answer/7052112?hl=ru | https://help.pinterest.com/en/business/article/before-you-get-started-with-catalogs"
"Необязательное","Длина упаковки","shipping_length","Google: необязательно","Нет","0","274","0.0%","Отсутствует","Добавить габарит транспортной упаковки.","https://support.google.com/merchants/answer/7052112?hl=ru"
"Необязательное","Ширина упаковки","shipping_width","Google/Pinterest: необязательно","Нет","0","274","0.0%","Отсутствует","Добавить габарит транспортной упаковки.","https://support.google.com/merchants/answer/7052112?hl=ru | https://help.pinterest.com/en/business/article/before-you-get-started-with-catalogs"
"Необязательное","Высота упаковки","shipping_height","Google/Pinterest: необязательно","Нет","0","274","0.0%","Отсутствует","Добавить габарит транспортной упаковки.","https://support.google.com/merchants/answer/7052112?hl=ru | https://help.pinterest.com/en/business/article/before-you-get-started-with-catalogs"
"Необязательное","Пользовательские метки","custom_label_0-4","Необязательно для сегментации кампаний","Нет","0","274","0.0%","Отсутствует","Добавить при необходимости: категория, interior/exterior, standard/custom, ценовой диапазон, приоритет.","https://support.google.com/merchants/answer/6324473?hl=ru"
"Внутренний атрибут PIM","Покрытие","coating (внутреннее)","Не является стандартным обязательным полем фида","Нет","0","274","0.0%","Отсутствует","Добавить в PIM; передавать в description и Google product_detail.","https://support.google.com/merchants/answer/7052112?hl=ru"
"Внутренний атрибут PIM","Профиль изделия","profile (внутреннее)","Не является стандартным обязательным полем фида","Нет","0","274","0.0%","Отсутствует","Добавить для карнизов, молдингов, обрамлений, капителей и колонн.","https://support.google.com/merchants/answer/7052112?hl=ru"
"Внутренний атрибут PIM","Диаметр","diameter (внутреннее)","Не является универсальным полем фида","Product Attributes: Diameter","7","274","2.6%","Есть только у части товаров","Нормализовать и хранить фактическое значение на уровне вариации.","https://support.google.com/merchants/answer/7052112?hl=ru"
"Внутренний атрибут PIM","Глубина / вынос","depth или projection (внутреннее)","Не является универсальным полем фида","Product Attributes: Projection","8","274","2.9%","Есть только у части товаров","Нормализовать как отдельную характеристику конкретной вариации.","https://support.google.com/merchants/answer/7052112?hl=ru"
"Внутренний атрибут PIM","Количество сторон","sides (внутреннее)","Не является универсальным полем фида","Product Attributes: Sides","8","274","2.9%","Есть только у части товаров","Нормализовать для faux beams и column wraps.","https://support.google.com/merchants/answer/7052112?hl=ru"
"Внутренний атрибут PIM","Архитектурный стиль","style (внутреннее)","Не является универсальным полем фида","Нет отдельного атрибута","0","274","0.0%","Отсутствует","Добавить контролируемый словарь: Modern, Classical, Corinthian, Tuscan и т. п.","https://support.google.com/merchants/answer/7052112?hl=ru"
"Внутренний атрибут PIM","Применение interior/exterior","application (внутреннее)","Не является универсальным полем фида","Нет","0","274","0.0%","Отсутствует","Добавить подтверждённое назначение и передавать в description/product_detail.","https://support.google.com/merchants/answer/7052112?hl=ru"
"Внутренний атрибут PIM","Способ монтажа","installation_method (внутреннее)","Не является универсальным полем фида","Нет","0","274","0.0%","Отсутствует","Добавить тип крепления и ссылку на инструкцию.","https://support.google.com/merchants/answer/7052112?hl=ru"
"Внутренний атрибут PIM","Несущая способность","load_bearing (внутреннее)","Не является универсальным полем фида","Нет","0","274","0.0%","Отсутствует","Для декоративных балок и колонн явно хранить Non-load-bearing.","https://support.google.com/merchants/answer/7052112?hl=ru"
"Внутренний атрибут PIM","Огнестойкость","fire_rating (внутреннее)","Не является универсальным полем фида","Нет","0","274","0.0%","Отсутствует","Добавить только подтверждённый класс и документ/сертификат.","https://support.google.com/merchants/answer/7052112?hl=ru"
"Внутренний атрибут PIM","Влагостойкость / УФ-стойкость","water_resistant; uv_resistant","Не является универсальным полем фида","Нет","0","274","0.0%","Отсутствует","Добавить проверяемые характеристики системы материала и покрытия.","https://support.google.com/merchants/answer/7052112?hl=ru"
"Внутренний атрибут PIM","Гарантия","warranty (внутреннее)","Показывается на сайте; стандартного поля фида нет","Нет","0","274","0.0%","Отсутствует","Добавить срок, условия и URL политики гарантии.","https://support.google.com/merchants/answer/4752265?hl=ru | https://policy.pinterest.com/en/merchant-guidelines"
"Внутренний атрибут PIM","Срок производства","lead_time (внутреннее)","Не заменяет availability","Нет","0","274","0.0%","Отсутствует","Добавить рабочие дни производства и использовать для расчёта ожидаемой даты.","https://support.google.com/merchants/answer/4752265?hl=ru | https://policy.pinterest.com/en/merchant-guidelines"
"Внутренний атрибут PIM","Состав комплекта","kit_contents (внутреннее)","Не является универсальным полем фида","Нет","0","274","0.0%","Отсутствует","Добавить перечень всех компонентов; включать в описание и изображения.","https://support.google.com/merchants/answer/7162856?hl=ru | https://help.pinterest.com/en/business/article/before-you-get-started-with-catalogs"
"Внутренний атрибут PIM","Признак custom-made","custom_made (внутреннее)","Не является универсальным полем фида","Косвенно через названия/категории","0","274","0.0%","Нет структурированного поля","Добавить yes/no. В фид выгружать конкретные конфигурации с полной ценой и предвыбранными опциями.","https://support.google.com/merchants/answer/7162856?hl=ru | https://policy.pinterest.com/en/merchant-guidelines"
