type;article_title;article_url;expected_service;service_url;article_to_service;service_to_article;notes
blog;Custom Column Capitals & Bases: The Complete Expert Guide to Architectural EPS Hard-Coat Systems;https://decorativearchitecturalproducts.com/custom-column-capitals-bases-the-complete-expert-guide-to-architectural-eps-hard-coat-systems/;Custom Column Capitals and Bases;https://decorativearchitecturalproducts.com/services/custom-column-capitals-and-bases/;missing;template-nontopical;Статья проверена целиком (5/5): в теле 0 ссылок на services. В What we do своей услуги нет. С услуг есть нетематическая ссылка (входит в 3 последних поста)
case;Chatelaine Fence Project — Elevated Installation Over Utility Lines;https://decorativearchitecturalproducts.com/case-collection/chatelaine-fence-project/;Stucco Architectural Fencing;https://decorativearchitecturalproducts.com/services/stucco-architectural-fencing-systems/;missing;missing;Страница проверена целиком: 0 ссылок на services. Продуктовый подвал без ссылок
case;Custom Lightweight Fence Panel System with Integrated Lighting;https://decorativearchitecturalproducts.com/case-collection/custom-lightweight-fence-panel-system-with-integrated-lighting/;Stucco Architectural Fencing;https://decorativearchitecturalproducts.com/services/stucco-architectural-fencing-systems/;missing;missing;Страница проверена целиком: 0 ссылок на services. Продуктовый подвал без ссылок
case;Custom 3D Monument Sign with Realistic Pine Trees;https://decorativearchitecturalproducts.com/case-collection/custom-3d-monument-sign-with-realistic-pine-trees/;— (услуги Signage нет);—;no-target;no-target;Целевой страницы услуги не существует — ссылаться не на что
case;Decorative Custom Shutters for Commercial Project;https://decorativearchitecturalproducts.com/case-collection/decorative-custom-shutters-for-commercial-project/;— (услуги Shutters нет);—;no-target;no-target;Целевой страницы услуги не существует — ссылаться не на что
case;Custom Decorative Balusters for Residential Project;https://decorativearchitecturalproducts.com/case-collection/custom-decorative-balusters-for-residential-project/;— (услуга Balustrades and Railings без URL);—;no-target;no-target;Услуга есть в таблице но без URL (статус Правки). После публикации услуги добавить ссылку
case;Custom Decorative Wall Panels for Outdoor Zoning;https://decorativearchitecturalproducts.com/case-collection/custom-decorative-wall-panels-for-outdoor-zoning/;— (подходящей услуги нет);—;no-target;no-target;Целевой страницы услуги не существует — ссылаться не на что
case;Custom Fireplace Surround for a Luxury Residence;https://decorativearchitecturalproducts.com/case-collection/custom-fireplace-surround-luxury-residential-mantel-design/;Fireplaces surrounds;https://decorativearchitecturalproducts.com/services/fireplace-surround-kits/;missing;missing;Страница проверена целиком: 0 ссылок на services. Вторичная связь возможна с faux-wood-mantels
case;Custom Faux Brick Mailbox for Residential Project;https://decorativearchitecturalproducts.com/case-collection/custom-faux-brick-mailbox-for-residential-project/;Stucco Mailboxes and Lamp Posts;https://decorativearchitecturalproducts.com/services/stucco-mailboxes-and-lamp-posts-kits/;missing;missing;Страница проверена целиком: 0 ссылок на services. Продуктовый подвал без ссылок
case;Custom Columns and Trellis for Residential Project;https://decorativearchitecturalproducts.com/case-collection/custom-columns-and-trellis-for-residential-project/;Architectural Columns kits;https://decorativearchitecturalproducts.com/services/architectural-columns-kits/;missing;missing;Страница проверена целиком: 0 ссылок на services. Продуктовый подвал без ссылок
case;Custom Lightweight Balustrade System;https://decorativearchitecturalproducts.com/case-collection/custom-lightweight-balustrade-system/;— (услуга Balustrades and Railings без URL);—;no-target;no-target;Услуга есть в таблице но без URL (статус Правки). После публикации услуги добавить ссылку
case;Custom Decorative Corbels for Residential Project;https://decorativearchitecturalproducts.com/case-collection/custom-decorative-corbels-for-residential-project/;Carved Corbels;https://decorativearchitecturalproducts.com/services/carved-corbels/;missing;missing;Страница проверена целиком: 0 ссылок на services. Продуктовый подвал без ссылок
case;XXL Corinthian Column Capitals for 20 Architectural Columns;https://decorativearchitecturalproducts.com/case-collection/xxl-corinthian-column-capitals-for-20-architectural-columns/;Custom Column Capitals and Bases;https://decorativearchitecturalproducts.com/services/custom-column-capitals-and-bases/;missing;missing;Кейс есть на сайте и в sitemap но отсутствует в таблице. Страница проверена целиком: 0 ссылок на services
