"Раздел","Данные WooCommerce","Официальное поле фида","Google Shopping","Pinterest","Meta Facebook Instagram","Обновлённое требование для архитектурных товаров","Официальный источник Google","Официальный источник Pinterest","Официальный источник Meta"
"Обязательные и условно обязательные","Штрихкод","gtin","Обязательно, если GTIN присвоен производителем","Необязательно","Необязательно","Передавать только действительный UPC, EAN, JAN или ISBN. Не использовать внутренний SKU вместо GTIN и не придумывать код. Уникальные заказные изделия обычно не имеют GTIN.","https://support.google.com/merchants/answer/7052112?hl=ru","https://help.pinterest.com/en/business/article/before-you-get-started-with-catalogs","https://developers.facebook.com/docs/marketing-api/catalog/reference/"
"Обязательные и условно обязательные","Код производителя","mpn","Обязательно, если производитель не присвоил GTIN, но присвоил MPN","Необязательно","Необязательно","MPN должен быть присвоен производителем. Для разных моделей и вариаций используйте разные MPN. Не копировать случайный SKU поставщика.","https://support.google.com/merchants/answer/7052112?hl=ru","https://help.pinterest.com/en/business/article/before-you-get-started-with-catalogs","https://developers.facebook.com/docs/marketing-api/catalog/reference/"
"Обязательные и условно обязательные","Признак отсутствия идентификаторов","identifier_exists","Условно обязательно","Нет поля","Нет поля","В Google передавать no только если нет GTIN и нет комбинации brand + mpn. Если идентификаторы существуют, значение no может привести к отклонению.","https://support.google.com/merchants/answer/7052112?hl=ru","",""
"Обязательные и условно обязательные","Категория Google","google_product_category","Необязательно, но рекомендуется","Необязательно","Необязательно; обязательно для прямого checkout при отсутствии fb_product_category","Выбрать одну наиболее точную категорию из действующей таксономии Google. Для архитектурного декора категория зависит от конкретного изделия, а не только от материала.","https://support.google.com/merchants/answer/7052112?hl=ru","https://help.pinterest.com/en/business/article/create-and-manage-product-groups-in-bulk","https://www.facebook.com/business/help/526764014610932"
"Обязательные и условно обязательные","Категория Meta","fb_product_category","Нет поля","Нет поля","Обязательно только для прямого checkout, если не используется google_product_category","Для прямого checkout в Facebook или Instagram достаточно одного поля: fb_product_category или google_product_category.","","","https://www.facebook.com/business/help/526764014610932"
"Обязательные и условно обязательные","Группа вариаций","item_group_id","Обязательно для вариантов в бесплатных предложениях и в отдельных целевых странах; рекомендуется в остальных случаях","Обязательно для товаров с несколькими вариантами","Необязательно","Одинаковый родительский ID для вариантов одной модели. Каждая комбинация цвета, материала или размера должна иметь собственный id.","https://support.google.com/merchants/answer/7052112?hl=ru","https://help.pinterest.com/en/business/article/before-you-get-started-with-catalogs","https://developers.facebook.com/docs/marketing-api/catalog/reference/"
"Обязательные и условно обязательные","Цвет","color","Обязательно, если варианты отличаются цветом","Необязательно","Необязательно","Использовать понятное название цвета, совпадающее со страницей: Walnut Brown, Antique White, Limestone Beige. Не передавать только код Pantone вместо названия.","https://support.google.com/merchants/answer/7052112?hl=ru","https://help.pinterest.com/en/business/article/create-and-manage-product-groups-in-bulk","https://developers.facebook.com/docs/marketing-api/catalog/reference/"
"Обязательные и условно обязательные","Размер","size","Обязательно, если товар доступен в разных размерах","Необязательно","Необязательно","Для архитектурного изделия можно использовать конкретную конфигурацию, например 8 x 10 x 120 in. Размер в фиде и на странице должен совпадать.","https://support.google.com/merchants/answer/7052112?hl=ru","https://help.pinterest.com/en/business/article/before-you-get-started-with-catalogs","https://developers.facebook.com/docs/marketing-api/catalog/reference/"
"Обязательные и условно обязательные","Материал","material","Обязательно, если материал отличает варианты; иначе необязательно","Необязательно","Необязательно","Например EPS foam, HDU, polyurethane, PVC, fiberglass. Материал должен описывать продаваемое изделие, а не материал, внешний вид которого имитируется.","https://support.google.com/merchants/answer/7052112?hl=ru","https://help.pinterest.com/en/business/article/before-you-get-started-with-catalogs","https://developers.facebook.com/docs/marketing-api/catalog/reference/"
"Обязательные и условно обязательные","Фактура или рисунок","pattern","Обязательно, если pattern отличает варианты; иначе необязательно","Необязательно","Необязательно","Можно использовать для фактур Hand Hewn, Rough Sawn, Wire Brushed или Driftwood, если они являются вариантами товара и совпадают с целевой страницей.","https://support.google.com/merchants/answer/7052112?hl=ru","https://help.pinterest.com/en/business/article/create-and-manage-product-groups-in-bulk","https://developers.facebook.com/docs/marketing-api/catalog/reference/"
"Обязательные и условно обязательные","Стоимость и условия доставки","shipping","Должны быть настроены в Merchant Center или переданы на уровне товара","Необязательно","Настраиваются средствами магазина и Commerce Manager","Для крупногабаритных изделий необходимо передавать точную freight-доставку или допустимое завышение по правилам Google. Все обязательные handling и carrier fees включаются в стоимость доставки.","https://support.google.com/merchants/answer/9158778?hl=ru","https://help.pinterest.com/en/business/article/before-you-get-started-with-catalogs","https://www.facebook.com/business/help/1205792533104321"
"Обязательные и условно обязательные","Комплект из разных товаров","is_bundle","Обязательно для соответствующих комплектов и кастомизации по правилам Google","Нет стандартного обязательного поля","Нет стандартного обязательного поля","Использовать для сформированного продавцом набора с основным товаром. Google также рекомендует is_bundle для кастомизации или персонализации товара.","https://support.google.com/merchants/answer/7162856?hl=ru","",""
"Обязательные и условно обязательные","Упаковка одинаковых товаров","multipack","Обязательно для сформированной продавцом мультиупаковки в применимых случаях","Нет стандартного обязательного поля","Нет стандартного обязательного поля","Указывать количество одинаковых единиц, если магазин объединяет их в один продаваемый товар. Не использовать для комплекта разных деталей.","https://support.google.com/merchants/answer/7052112?hl=ru","",""
"Обязательные и условно обязательные","Количество и единица товара","unit_pricing_measure","Условно обязательно по законодательству; иначе необязательно","Нет стандартного обязательного поля","Нет стандартного обязательного поля","Использовать, если товар продаётся по длине, площади, объёму или количеству и это требуется правилами целевого рынка.","https://support.google.com/merchants/answer/7052112?hl=ru","",""
"Обязательные и условно обязательные","Базовая единица цены","unit_pricing_base_measure","Условно обязательно по законодательству; иначе необязательно","Нет стандартного обязательного поля","Нет стандартного обязательного поля","Использовать вместе с unit_pricing_measure для сравнимой цены за базовую единицу.","https://support.google.com/merchants/answer/7052112?hl=ru","",""
"Обязательные и условно обязательные","Количество для прямого checkout Meta","quantity_to_sell_on_facebook","Нет поля","Нет поля","Обязательно только для прямого checkout Facebook/Instagram","Целое количество доступных единиц. Не требуется для обычного каталога с переходом на сайт.","","","https://developers.facebook.com/docs/marketing-api/catalog/reference/"
"Обязательные и условно обязательные","Возможность прямой покупки","Требование сайта и landing page","Обязательно","Обязательно для конкретного Product Pin","Требуется конкретная страница физического товара","Google требует фиксированную показанную цену, кнопку покупки и безопасный checkout. Pinterest требует конкретный товар, доступный для покупки, а не услугу. Страницы только Request a quote или Discuss the project не подходят как полноценные товарные карточки каталога.","https://support.google.com/merchants/answer/12160471?hl=ru","https://policy.pinterest.com/en/merchant-guidelines","https://www.facebook.com/business/help/1205792533104321"
"Обязательные и условно обязательные","Доступность покупки физлицам","Требование checkout","Обязательно","Требования merchant policy","Зависит от модели магазина","Google Shopping ориентирован на физических лиц: поля Company name и Company ID должны быть необязательными. Pinterest не допускает merchant account, работающий только как wholesale retailer.","https://support.google.com/merchants/answer/6323982?hl=ru","https://policy.pinterest.com/en/merchant-guidelines",""
"Обязательные и условно обязательные","Актуальность цены и наличия","Требование обновления фида","Обязательно","Обязательно","Обязательно","Обновлять данные при каждом изменении. Pinterest требует актуальные в пределах семи дней цену и наличие и рекомендует ежедневную синхронизацию. Несоответствие Google может привести к отклонению товара.","https://support.google.com/merchants/answer/188489?hl=ru","https://policy.pinterest.com/en/merchant-guidelines","https://www.facebook.com/business/help/2041876302542944"
