"Раздел","Данные WooCommerce","Официальное поле фида","Google Shopping","Pinterest","Meta Facebook Instagram","Обновлённое требование для архитектурных товаров","Официальный источник Google","Официальный источник Pinterest","Официальный источник Meta"
"Необязательные и рекомендуемые","Вес транспортной упаковки","shipping_weight","Необязательно; нужен для расчёта доставки по весу","Необязательно","Нет стандартного обязательного поля","Вес товара с упаковкой. Настройка должна соответствовать фактическому способу расчёта доставки.","https://support.google.com/merchants/answer/7052112?hl=ru","https://help.pinterest.com/en/business/article/before-you-get-started-with-catalogs",""
"Необязательные и рекомендуемые","Длина транспортной упаковки","shipping_length","Необязательно; нужен при расчёте по габаритному весу","Нет в базовом наборе Pinterest retail catalog","Нет стандартного обязательного поля","Для Google при использовании габаритов следует заполнить длину, ширину и высоту упаковки в одной системе измерения.","https://support.google.com/merchants/answer/7052112?hl=ru","",""
"Необязательные и рекомендуемые","Ширина транспортной упаковки","shipping_width","Необязательно; нужен при расчёте по габаритному весу","Необязательно","Нет стандартного обязательного поля","Габарит транспортной упаковки, а не изделия. Pinterest официально поддерживает shipping_width.","https://support.google.com/merchants/answer/7052112?hl=ru","https://help.pinterest.com/en/business/article/before-you-get-started-with-catalogs",""
"Необязательные и рекомендуемые","Высота транспортной упаковки","shipping_height","Необязательно; нужен при расчёте по габаритному весу","Необязательно","Нет стандартного обязательного поля","Габарит транспортной упаковки. Pinterest официально поддерживает shipping_height.","https://support.google.com/merchants/answer/7052112?hl=ru","https://help.pinterest.com/en/business/article/before-you-get-started-with-catalogs",""
"Необязательные и рекомендуемые","Пользовательские метки","custom_label_0-4","Необязательно","Необязательно","Необязательно","Используются только для сегментации рекламы и отчётности: категория, interior/exterior, standard/custom, ценовой диапазон, маржинальность. Не заменяют характеристики товара.","https://support.google.com/merchants/answer/6324473?hl=ru","https://help.pinterest.com/en/business/article/create-and-manage-product-groups-in-bulk","https://developers.facebook.com/docs/marketing-api/catalog/reference/"
"Необязательные и рекомендуемые","Покрытие","Внутренний атрибут WooCommerce coating","Передавать через description или product_detail","Передавать через description","Передавать через description","Не является универсальным официальным полем фида. Примеры значений: Polyurea hard coat, stucco coating, UV-resistant coating.","https://support.google.com/merchants/answer/9218260?hl=ru","https://help.pinterest.com/en/business/article/before-you-get-started-with-catalogs","https://developers.facebook.com/docs/marketing-api/catalog/reference/"
"Необязательные и рекомендуемые","Профиль","Внутренний атрибут WooCommerce profile","Передавать через title, description или product_detail","Передавать через title или description","Передавать через title или description","Использовать для карнизов, молдингов, обрамлений, капителей и архитектурного декора. Произвольную колонку profile площадка может не распознать.","https://support.google.com/merchants/answer/9218260?hl=ru","https://help.pinterest.com/en/business/article/before-you-get-started-with-catalogs","https://developers.facebook.com/docs/marketing-api/catalog/reference/"
"Необязательные и рекомендуемые","Диаметр","Внутренний атрибут WooCommerce diameter","Передавать через size, description или product_detail","Передавать через title или description","Передавать через title или description","Полезно для колонн, капителей, баз и круглых декоративных элементов. Это не универсальное поле фида.","https://support.google.com/merchants/answer/9218260?hl=ru","https://help.pinterest.com/en/business/article/before-you-get-started-with-catalogs","https://developers.facebook.com/docs/marketing-api/catalog/reference/"
"Необязательные и рекомендуемые","Глубина или вынос","Внутренний атрибут WooCommerce depth","Передавать через description или product_detail","Передавать через description","Передавать через description","Фактическая глубина изделия. Не использовать shipping_length, shipping_width или shipping_height вместо характеристики товара.","https://support.google.com/merchants/answer/9218260?hl=ru","https://help.pinterest.com/en/business/article/before-you-get-started-with-catalogs","https://developers.facebook.com/docs/marketing-api/catalog/reference/"
"Необязательные и рекомендуемые","Архитектурный стиль","Внутренний атрибут WooCommerce style","Передавать через title, description или product_detail","Передавать через title или description","Передавать через title или description","Примеры: Modern, Classical, Corinthian, Tuscan, Romanesque, Mediterranean, Rustic. Не является обязательным стандартным полем.","https://support.google.com/merchants/answer/9218260?hl=ru","https://help.pinterest.com/en/business/article/before-you-get-started-with-catalogs","https://developers.facebook.com/docs/marketing-api/catalog/reference/"
"Необязательные и рекомендуемые","Применение interior или exterior","Внутренний атрибут WooCommerce application","Передавать через description или product_detail","Передавать через description","Передавать через description","Указать подтверждённое назначение изделия. Не заявлять exterior без подходящего покрытия и документации.","https://support.google.com/merchants/answer/9218260?hl=ru","https://help.pinterest.com/en/business/article/before-you-get-started-with-catalogs","https://developers.facebook.com/docs/marketing-api/catalog/reference/"
"Необязательные и рекомендуемые","Способ монтажа","Внутренний атрибут WooCommerce installation_method","Передавать через description или product_detail","Передавать через description","Передавать через description","Например adhesive, hidden fasteners, cleats, brackets, anchors или internal frame. Это не стандартная колонка товарного фида.","https://support.google.com/merchants/answer/9218260?hl=ru","https://help.pinterest.com/en/business/article/before-you-get-started-with-catalogs","https://developers.facebook.com/docs/marketing-api/catalog/reference/"
"Необязательные и рекомендуемые","Несущая способность","Внутренний атрибут WooCommerce load_bearing","Передавать через description или product_detail","Передавать через description","Передавать через description","Для декоративных колонн, балок и балюстрад явно указывать Non-load-bearing, если они не являются несущими. Это характеристика страницы, а не обязательное поле фида.","https://support.google.com/merchants/answer/9218260?hl=ru","https://help.pinterest.com/en/business/article/before-you-get-started-with-catalogs","https://developers.facebook.com/docs/marketing-api/catalog/reference/"
"Необязательные и рекомендуемые","Огнестойкость","Внутренний атрибут WooCommerce fire_rating","Передавать через description или product_detail","Передавать через description","Передавать через description","Указывать только подтверждённое значение для конкретного изделия, например ASTM E84 Class A. Не является универсальным полем фида.","https://support.google.com/merchants/answer/9218260?hl=ru","https://help.pinterest.com/en/business/article/before-you-get-started-with-catalogs","https://developers.facebook.com/docs/marketing-api/catalog/reference/"
"Необязательные и рекомендуемые","Влагостойкость и УФ-стойкость","Внутренние атрибуты WooCommerce water_resistant и uv_resistant","Передавать через description или product_detail","Передавать через description","Передавать через description","Публиковать только проверяемые характеристики конкретной системы материала и покрытия.","https://support.google.com/merchants/answer/9218260?hl=ru","https://help.pinterest.com/en/business/article/before-you-get-started-with-catalogs","https://developers.facebook.com/docs/marketing-api/catalog/reference/"
"Необязательные и рекомендуемые","Гарантия","Внутренний атрибут WooCommerce warranty","Показывать на странице товара","Показывать на странице и в политике магазина","Показывать на странице и в политике магазина","Стандартного обязательного поля фида нет. Срок и условия гарантии должны быть точными и доступны покупателю.","https://support.google.com/merchants/answer/4752265?hl=ru","https://policy.pinterest.com/en/merchant-guidelines","https://www.facebook.com/business/help/1205792533104321"
"Необязательные и рекомендуемые","Срок производства","Внутренний атрибут WooCommerce lead_time","Показывать на странице; не заменяет availability_date","Показывать на странице","Показывать на странице","Например 15-30 business days. Для Google при preorder нужна дата поступления/отправки; свободный текст lead_time не заменяет официальный статус наличия.","https://support.google.com/merchants/answer/4752265?hl=ru","https://policy.pinterest.com/en/merchant-guidelines","https://www.facebook.com/business/help/1205792533104321"
"Необязательные и рекомендуемые","Состав комплекта","Внутренний атрибут WooCommerce kit_contents","Передавать через description, image и product_detail","Передавать через description и image","Передавать через description и image","Перечислить все продаваемые элементы. Цена, изображение и описание должны относиться ко всему комплекту.","https://support.google.com/merchants/answer/13642389?hl=ru","https://help.pinterest.com/en/business/article/before-you-get-started-with-catalogs","https://developers.facebook.com/docs/marketing-api/catalog/reference/"
"Необязательные и рекомендуемые","Индивидуальное изготовление","Внутренний атрибут WooCommerce custom_made","Допустимо при соблюдении правил кастомизированных товаров","Допустим конкретный физический покупаемый товар","Допустим конкретный физический товар","Выгружать конкретные популярные конфигурации с корректными изображением, названием, полной ценой и предвыбранными опциями. Проектную услугу без фиксированной цены не включать.","https://support.google.com/merchants/answer/7162856?hl=ru","https://policy.pinterest.com/en/merchant-guidelines","https://www.facebook.com/business/help/1205792533104321"
